id,region,departement,code Departement ,code_INSEE_Commune,ville,nombre_de_Contribuables,moyenne_Actifs_Euros,moyenne_Impot_Euros,annee,code_Region
1,AUVERGNE-RHONE-ALPES,SAVOIE,73,8,AIX-LES-BAINS,68,1937107,7006,2019,1
2,AUVERGNE-RHONE-ALPES,SAVOIE,73,8,AIX-LES-BAINS,67,2052633,7639,2020,1
3,AUVERGNE-RHONE-ALPES,SAVOIE,73,8,AIX-LES-BAINS,78,1997463,7330,2021,1
4,AUVERGNE-RHONE-ALPES,SAVOIE,73,8,AIX-LES-BAINS,91,2137414,8716,2022,1
5,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74,10,ANNECY,476,1986205,7492,2019,1
6,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74,10,ANNECY,507,2005705,7509,2020,1
7,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74,10,ANNECY,552,2033965,7710,2021,1
8,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74,10,ANNECY,622,2045690,7767,2022,1
9,AUVERGNE-RHONE-ALPES,RHONE,69,29,BRON,64,2012265,7328,2019,1
10,AUVERGNE-RHONE-ALPES,RHONE,69,29,BRON,63,1977913,7230,2020,1
11,AUVERGNE-RHONE-ALPES,RHONE,69,29,BRON,66,2042233,7487,2021,1
12,AUVERGNE-RHONE-ALPES,RHONE,69,29,BRON,70,2030115,7342,2022,1
13,AUVERGNE-RHONE-ALPES,RHONE,69,34,CALUIRE ET CUIRE,208,2224681,8675,2019,1
14,AUVERGNE-RHONE-ALPES,RHONE,69,34,CALUIRE ET CUIRE,214,2267262,9309,2020,1
15,AUVERGNE-RHONE-ALPES,RHONE,69,34,CALUIRE ET CUIRE,232,2407934,10606,2021,1
16,AUVERGNE-RHONE-ALPES,RHONE,69,34,CALUIRE ET CUIRE,267,2433972,9534,2022,1
17,AUVERGNE-RHONE-ALPES,SAVOIE,73,65,CHAMBERY,110,1994945,7131,2019,1
18,AUVERGNE-RHONE-ALPES,SAVOIE,73,65,CHAMBERY,110,2084616,8125,2020,1
19,AUVERGNE-RHONE-ALPES,SAVOIE,73,65,CHAMBERY,117,1999840,6548,2021,1
20,AUVERGNE-RHONE-ALPES,SAVOIE,73,65,CHAMBERY,124,2058732,7479,2022,1
21,AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63,113,CLERMONT-FERRAND,107,1936636,6514,2019,1
22,AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63,113,CLERMONT-FERRAND,114,1955280,6836,2020,1
23,AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63,113,CLERMONT-FERRAND,115,2001395,7452,2021,1
24,AUVERGNE-RHONE-ALPES,PUY-DE-DOME,63,113,CLERMONT-FERRAND,127,2104046,8096,2022,1
25,AUVERGNE-RHONE-ALPES,ISERE,38,185,GRENOBLE,178,2167094,8652,2019,1
26,AUVERGNE-RHONE-ALPES,ISERE,38,185,GRENOBLE,172,2157148,8816,2020,1
27,AUVERGNE-RHONE-ALPES,ISERE,38,185,GRENOBLE,174,2224496,8388,2021,1
28,AUVERGNE-RHONE-ALPES,ISERE,38,185,GRENOBLE,175,2275227,9034,2022,1
29,AUVERGNE-RHONE-ALPES,DROME,26,198,MONTELIMAR,53,2052084,7850,2021,1
30,AUVERGNE-RHONE-ALPES,DROME,26,198,MONTELIMAR,61,2198308,9430,2022,1
31,AUVERGNE-RHONE-ALPES,LOIRE,42,218,SAINT ETIENNE,83,1895126,6012,2019,1
32,AUVERGNE-RHONE-ALPES,LOIRE,42,218,SAINT ETIENNE,78,1888188,6107,2020,1
33,AUVERGNE-RHONE-ALPES,LOIRE,42,218,SAINT ETIENNE,78,2041352,7594,2021,1
34,AUVERGNE-RHONE-ALPES,LOIRE,42,218,SAINT ETIENNE,77,2037480,7431,2022,1
35,AUVERGNE-RHONE-ALPES,RHONE,69,204,SAINT-GENIS-LAVAL,63,2086475,7987,2019,1
36,AUVERGNE-RHONE-ALPES,RHONE,69,204,SAINT-GENIS-LAVAL,63,2131247,7620,2020,1
37,AUVERGNE-RHONE-ALPES,RHONE,69,204,SAINT-GENIS-LAVAL,68,2191812,7998,2021,1
38,AUVERGNE-RHONE-ALPES,RHONE,69,204,SAINT-GENIS-LAVAL,78,2178521,8276,2022,1
39,AUVERGNE-RHONE-ALPES,RHONE,69,202,STE FOY LES LYON,171,2209627,8766,2019,1
40,AUVERGNE-RHONE-ALPES,RHONE,69,202,STE FOY LES LYON,170,2285840,9486,2020,1
41,AUVERGNE-RHONE-ALPES,RHONE,69,202,STE FOY LES LYON,189,2252613,9028,2021,1
42,AUVERGNE-RHONE-ALPES,RHONE,69,202,STE FOY LES LYON,210,2307658,9841,2022,1
43,AUVERGNE-RHONE-ALPES,RHONE,69,244,TASSIN-LA-DEMI-LUNE,110,2124329,8085,2019,1
44,AUVERGNE-RHONE-ALPES,RHONE,69,244,TASSIN-LA-DEMI-LUNE,108,2151524,7976,2020,1
45,AUVERGNE-RHONE-ALPES,RHONE,69,244,TASSIN-LA-DEMI-LUNE,126,2191385,8551,2021,1
46,AUVERGNE-RHONE-ALPES,RHONE,69,244,TASSIN-LA-DEMI-LUNE,142,2190777,8590,2022,1
47,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74,281,THONON-LES-BAINS,88,2112336,8487,2019,1
48,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74,281,THONON-LES-BAINS,90,2140392,8866,2020,1
49,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74,281,THONON-LES-BAINS,94,2182223,9198,2021,1
50,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74,281,THONON-LES-BAINS,102,2127144,8641,2022,1
51,AUVERGNE-RHONE-ALPES,DROME,26,362,VALENCE,61,2458973,10270,2019,1
52,AUVERGNE-RHONE-ALPES,DROME,26,362,VALENCE,61,2405157,9202,2020,1
53,AUVERGNE-RHONE-ALPES,DROME,26,362,VALENCE,68,2460955,9773,2021,1
54,AUVERGNE-RHONE-ALPES,DROME,26,362,VALENCE,76,2511479,10671,2022,1
55,AUVERGNE-RHONE-ALPES,RHONE,69,266,VILLEURBANNE,73,1972216,7135,2019,1
56,AUVERGNE-RHONE-ALPES,RHONE,69,266,VILLEURBANNE,89,2047425,7667,2020,1
57,AUVERGNE-RHONE-ALPES,RHONE,69,266,VILLEURBANNE,96,2076969,7655,2021,1
58,AUVERGNE-RHONE-ALPES,RHONE,69,266,VILLEURBANNE,89,2261237,9103,2022,1
59,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21,54,BEAUNE,52,2346323,9536,2021,2
60,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21,54,BEAUNE,51,2416074,9954,2022,2
61,BOURGOGNE-FRANCHE-COMTE,DOUBS,25,56,BESANCON,97,1970040,7082,2019,2
62,BOURGOGNE-FRANCHE-COMTE,DOUBS,25,56,BESANCON,94,2038635,7353,2020,2
63,BOURGOGNE-FRANCHE-COMTE,DOUBS,25,56,BESANCON,102,2051255,7830,2021,2
64,BOURGOGNE-FRANCHE-COMTE,DOUBS,25,56,BESANCON,106,2104686,8156,2022,2
65,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21,231,DIJON,174,2173765,8786,2019,2
66,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21,231,DIJON,176,2189934,8714,2020,2
67,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21,231,DIJON,188,2198908,9221,2021,2
68,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21,231,DIJON,200,2159030,8599,2022,2
69,BRETAGNE,FINISTERE,29,19,BREST,76,2356790,10278,2019,3
70,BRETAGNE,FINISTERE,29,19,BREST,80,2413798,10697,2020,3
71,BRETAGNE,FINISTERE,29,19,BREST,79,2452426,11760,2021,3
72,BRETAGNE,FINISTERE,29,19,BREST,93,2468531,11583,2022,3
73,BRETAGNE,FINISTERE,29,232,QUIMPER,53,2334000,10441,2022,3
74,BRETAGNE,ILLE-ET-VILAINE,35,238,RENNES,491,2394287,10633,2019,3
75,BRETAGNE,ILLE-ET-VILAINE,35,238,RENNES,514,2437244,11005,2020,3
76,BRETAGNE,ILLE-ET-VILAINE,35,238,RENNES,572,2462023,11004,2021,3
77,BRETAGNE,ILLE-ET-VILAINE,35,238,RENNES,651,2483808,11233,2022,3
78,BRETAGNE,ILLE-ET-VILAINE,35,288,SAINT MALO,148,2260030,10314,2019,3
79,BRETAGNE,ILLE-ET-VILAINE,35,288,SAINT MALO,175,2206337,9449,2020,3
80,BRETAGNE,ILLE-ET-VILAINE,35,288,SAINT MALO,197,2218192,9596,2021,3
81,BRETAGNE,ILLE-ET-VILAINE,35,288,SAINT MALO,238,2260465,9930,2022,3
82,BRETAGNE,MORBIHAN,56,260,VANNES,145,1977304,7194,2019,3
83,BRETAGNE,MORBIHAN,56,260,VANNES,145,2038408,7929,2020,3
84,BRETAGNE,MORBIHAN,56,260,VANNES,188,2021611,7677,2021,3
85,BRETAGNE,MORBIHAN,56,260,VANNES,231,1986573,7523,2022,3
86,CENTRE-VAL DE LOIRE,CHER,18,33,BOURGES,52,2087067,8250,2022,4
87,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28,85,CHARTRES,88,2274040,10164,2019,4
88,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28,85,CHARTRES,84,2381736,10929,2020,4
